[SIMINFO]: Generating pseudo random numbers ...
[SIMINFO]: Generating topology scenario ...
[SIMINFO]: Generating node scenario ...
[SIMINFO]: Creating topology scenario reader ...
[SIMINFO]: Creating node scenario reader ...
[SIMINFO]: Creating 5 Node Objects
[SIMINFO]: 0: 10 -INITIALIZE-;
[SIMINFO]: 0: 0-4 -UP-;
[SIMINFO]: Node id range = 0-4
[SIMINFO]: 1000: 10 -STOP_SIMULATION-;
[SIMINFO]: Initialization: 0: Position: {20, 234}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 22: 3: Position: {300, 473}, Status: MOBILE, Mobility: 4.0s, 17.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 23: 0: Position: {1, 235}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 23: 1: Position: {91, 368}, Status: MOBILE, Mobility: 10.0s, 258.74 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 23: 2: Position: {61, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 8.0s
[SIMINFO]: 23: 3: Position: {300, 472}, Status: MOBILE, Mobility: 3.0s, 17.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 24: 0: Position: {1, 235}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 24: 1: Position: {93, 373}, Status: MOBILE, Mobility: 9.0s, 258.74 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 24: 2: Position: {61, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 24: 3: Position: {300, 471}, Status: MOBILE, Mobility: 2.0s, 17.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 25: 0: Position: {1, 235}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 25: 1: Position: {95, 378}, Status: MOBILE, Mobility: 8.0s, 258.74 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 25: 2: Position: {61, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 25: 3: Position: {300, 470}, Status: MOBILE, Mobility: 1.0s, 17.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 26: 0: Position: {1, 235}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 26: 1: Position: {97, 383}, Status: MOBILE, Mobility: 7.0s, 258.74 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 26: 2: Position: {61, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 26: 3: Position: {300, 469}, Status: MOBILE, Mobility: 0.0s, 17.42 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 27: 0: Position: {1, 235}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 27: 1: Position: {99, 388}, Status: MOBILE, Mobility: 6.0s, 258.74 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 27: 2: Position: {61, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 27: 3: Position: {300, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 28: 0: Position: {1, 235}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 28: 1: Position: {101, 393}, Status: MOBILE, Mobility: 5.0s, 258.74 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 28: 2: Position: {61, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 28: 3: Position: {300, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 29: 0: Position: {1, 235}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 29: 1: Position: {103, 398}, Status: MOBILE, Mobility: 4.0s, 258.74 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 29: 2: Position: {61, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 29: 3: Position: {300, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 30: 0: Position: {1, 235}, Status: MOBILE, Mobility: 5.0s, 140.89 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 30: 1: Position: {105, 403}, Status: MOBILE, Mobility: 3.0s, 258.74 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 30: 2: Position: {61, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 30: 3: Position: {300, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 31: 0: Position: {0, 237}, Status: MOBILE, Mobility: 4.0s, 292.88 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 31: 1: Position: {107, 408}, Status: MOBILE, Mobility: 2.0s, 258.74 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 31: 2: Position: {61, 245}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 31: 3: Position: {300, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 32: 0: Position: {0, 234}, Status: MOBILE, Mobility: 3.0s, 335.68 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 32: 1: Position: {109, 413}, Status: MOBILE, Mobility: 1.0s, 258.74 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 32: 2: Position: {61, 245}, Status: MOBILE, Mobility: 2.0s, 223.96 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 32: 3: Position: {300, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 33: 0: Position: {0, 236}, Status: MOBILE, Mobility: 2.0s, 245.58 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 33: 1: Position: {111, 418}, Status: MOBILE, Mobility: 0.0s, 258.74 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 33: 2: Position: {60, 244}, Status: MOBILE, Mobility: 1.0s, 223.96 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 33: 3: Position: {300, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 34: 0: Position: {4, 239}, Status: MOBILE, Mobility: 1.0s, 245.58 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 34: 1: Position: {111, 418}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 34: 2: Position: {59, 243}, Status: MOBILE, Mobility: 0.0s, 223.96 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 34: 3: Position: {300, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 35: 0: Position: {8, 242}, Status: MOBILE, Mobility: 0.0s, 245.58 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 35: 1: Position: {111, 418}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 35: 2: Position: {59, 243}, Status: MOBILE, Mobility: 6.0s, 28.81 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 35: 3: Position: {300, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 36: 0: Position: {8, 242}, Status: MOBILE, Mobility: 9.0s, 46.18 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 36: 1: Position: {111, 418}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 36: 2: Position: {56, 241}, Status: MOBILE, Mobility: 5.0s, 28.81 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 36: 3: Position: {300, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 37: 0: Position: {6, 245}, Status: MOBILE, Mobility: 8.0s, 46.18 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 37: 1: Position: {111, 418}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 37: 2: Position: {53, 239}, Status: MOBILE, Mobility: 4.0s, 28.81 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 37: 3: Position: {300, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 38: 0: Position: {4, 248}, Status: MOBILE, Mobility: 7.0s, 46.18 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 38: 1: Position: {111, 418}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 38: 2: Position: {50, 237}, Status: MOBILE, Mobility: 3.0s, 28.81 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 38: 3: Position: {300, 469}, Status: MOBILE, Mobility: 8.0s, 314.63 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 39: 0: Position: {2, 251}, Status: MOBILE, Mobility: 6.0s, 46.18 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 39: 1: Position: {111, 418}, Status: MOBILE, Mobility: 6.0s, 80.36 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 39: 2: Position: {47, 235}, Status: MOBILE, Mobility: 2.0s, 28.81 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 39: 3: Position: {303, 470}, Status: MOBILE, Mobility: 7.0s, 314.63 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 40: 0: Position: {0, 254}, Status: MOBILE, Mobility: 5.0s, 46.18 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 40: 1: Position: {111, 417}, Status: MOBILE, Mobility: 5.0s, 80.36 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 40: 2: Position: {44, 233}, Status: MOBILE, Mobility: 1.0s, 28.81 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 40: 3: Position: {306, 471}, Status: MOBILE, Mobility: 6.0s, 314.63 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 41: 0: Position: {0, 257}, Status: MOBILE, Mobility: 4.0s, 113.72 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 41: 1: Position: {111, 416}, Status: MOBILE, Mobility: 4.0s, 80.36 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 41: 2: Position: {41, 231}, Status: MOBILE, Mobility: 0.0s, 28.81 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 41: 3: Position: {309, 472}, Status: MOBILE, Mobility: 5.0s, 314.63 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 42: 0: Position: {3, 259}, Status: MOBILE, Mobility: 3.0s, 113.72 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 42: 1: Position: {111, 415}, Status: MOBILE, Mobility: 3.0s, 80.36 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 42: 2: Position: {41, 231}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 42: 3: Position: {312, 473}, Status: MOBILE, Mobility: 4.0s, 314.63 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 43: 0: Position: {6, 261}, Status: MOBILE, Mobility: 2.0s, 113.72 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 43: 1: Position: {111, 414}, Status: MOBILE, Mobility: 2.0s, 80.36 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 43: 2: Position: {41, 231}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 43: 3: Position: {315, 474}, Status: MOBILE, Mobility: 3.0s, 314.63 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 44: 0: Position: {9, 263}, Status: MOBILE, Mobility: 1.0s, 113.72 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 44: 1: Position: {111, 413}, Status: MOBILE, Mobility: 1.0s, 80.36 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 44: 2: Position: {41, 231}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 44: 3: Position: {318, 475}, Status: MOBILE, Mobility: 2.0s, 314.63 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 45: 0: Position: {12, 265}, Status: MOBILE, Mobility: 0.0s, 113.72 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 45: 1: Position: {111, 412}, Status: MOBILE, Mobility: 0.0s, 80.36 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 45: 2: Position: {41, 231}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 45: 3: Position: {321, 476}, Status: MOBILE, Mobility: 1.0s, 314.63 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 46: 0: Position: {12, 265}, Status: MOBILE, Mobility: 1.0s, 359.12 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 46: 1: Position: {111, 412}, Status: MOBILE, Mobility: 10.0s, 172.86 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 46: 2: Position: {41, 231}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 46: 3: Position: {324, 477}, Status: MOBILE, Mobility: 0.0s, 314.63 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 47: 0: Position: {13, 267}, Status: MOBILE, Mobility: 0.0s, 359.12 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 47: 1: Position: {110, 412}, Status: MOBILE, Mobility: 9.0s, 172.86 degrees, 1m/s Pause: 0.0s
